Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
1994-02-22,47.0,47.34375,47.0,47.34375,26.63527488708496,154500,0.0,0.0,0.0
1994-02-23,47.40625,47.4375,47.0625,47.21875,26.564945220947266,391700,0.0,0.0,0.0
1994-02-24,47.0625,47.0625,46.5625,46.59375,26.213335037231445,770800,0.0,0.0,0.0
1994-02-25,46.65625,46.8125,46.5625,46.8125,26.33639907836914,531300,0.0,0.0,0.0
1994-02-28,46.9375,47.0625,46.8125,46.8125,26.33639907836914,333000,0.0,0.0,0.0
1994-03-01,46.8125,46.90625,46.375,46.625,26.23090362548828,423600,0.0,0.0,0.0
1994-03-02,46.03125,46.6875,45.90625,46.6875,26.266077041625977,581500,0.0,0.0,0.0
1994-03-03,46.625,46.625,46.4375,46.5625,26.195758819580078,223200,0.0,0.0,0.0
1994-03-04,46.5625,46.8125,46.40625,46.6875,26.266077041625977,595800,0.0,0.0,0.0
1994-03-07,46.84375,47.0,46.84375,46.9375,26.40671730041504,539800,0.0,0.0,0.0
1994-03-08,46.96875,46.96875,46.6875,46.75,26.30121612548828,880300,0.0,0.0,0.0
